voltage_V,pulses,depth_um,laser_power_W
460,10,11.1502,0.011514400000000258
460,20,11.3838,0.011514400000000258
460,30,14.4907,0.011514400000000258
460,40,15.0517,0.011514400000000258
460,50,16.6306,0.011514400000000258
460,60,17.9304,0.011514400000000258
460,70,19.7249,0.011514400000000258
460,80,19.7022,0.011514400000000258
460,90,20.16715,0.011514400000000258
460,100,21.016,0.011514400000000258
460,110,21.49405,0.011514400000000258
460,120,22.0985,0.011514400000000258
460,130,22.09865,0.011514400000000258
460,140,23.16715,0.011514400000000258
460,150,23.62535,0.011514400000000258
480,10,12.00605,0.2070735999999993
480,20,12.7868,0.2070735999999993
480,30,14.98295,0.2070735999999993
480,40,16.6627,0.2070735999999993
480,50,16.7726,0.2070735999999993
480,60,17.4875,0.2070735999999993
480,70,21.3866,0.2070735999999993
480,80,21.42675,0.2070735999999993
480,90,22.4645,0.2070735999999993
480,100,22.6905,0.2070735999999993
480,110,22.9584,0.2070735999999993
480,120,24.4788,0.2070735999999993
480,130,24.564,0.2070735999999993
480,140,24.21605,0.2070735999999993
480,150,24.9445,0.2070735999999993
500,10,12.01385,0.39390000000000036
500,20,13.82135,0.39390000000000036
500,30,14.8898,0.39390000000000036
500,40,17.1954,0.39390000000000036
500,50,16.507,0.39390000000000036
500,60,17.9451,0.39390000000000036
500,70,22.07875,0.39390000000000036
500,80,22.86355,0.39390000000000036
500,90,23.00475,0.39390000000000036
500,100,23.1722,0.39390000000000036
500,110,23.80215,0.39390000000000036
500,120,24.7148,0.39390000000000036
500,130,25.71415,0.39390000000000036
500,140,27.07775,0.39390000000000036
500,150,28.735,0.39390000000000036
520,10,12.99735,0.5719935999999999
520,20,13.39905,0.5719935999999999
520,30,13.89095,0.5719935999999999
520,40,17.4095,0.5719935999999999
520,50,17.59005,0.5719935999999999
520,60,18.373,0.5719935999999999
520,70,22.62535,0.5719935999999999
520,80,23.7688,0.5719935999999999
520,90,23.9812,0.5719935999999999
520,100,24.155,0.5719935999999999
520,110,24.905,0.5719935999999999
520,120,25.672,0.5719935999999999
520,130,26.6636,0.5719935999999999
520,140,27.2446,0.5719935999999999
520,150,29.1095,0.5719935999999999
540,10,13.15264,0.7413544000000005
540,20,13.7609,0.7413544000000005
540,30,15.8983,0.7413544000000005
540,40,18.3905,0.7413544000000005
540,50,18.1523,0.7413544000000005
540,60,19.2412,0.7413544000000005
540,70,21.253,0.7413544000000005
540,80,23.9274,0.7413544000000005
540,90,24.208,0.7413544000000005
540,100,24.751,0.7413544000000005
540,110,24.919,0.7413544000000005
540,120,25.867,0.7413544000000005
540,130,26.496,0.7413544000000005
540,140,28.5103,0.7413544000000005
540,150,29.2188,0.7413544000000005
560,10,14.8717,0.9019824000000005
560,20,15.8041,0.9019824000000005
560,30,16.7806,0.9019824000000005
560,40,18.8596,0.9019824000000005
560,50,19.2199,0.9019824000000005
560,60,19.776,0.9019824000000005
560,70,22.3354,0.9019824000000005
560,80,23.5264,0.9019824000000005
560,90,24.9791,0.9019824000000005
560,100,25.3983,0.9019824000000005
560,110,26.019,0.9019824000000005
560,120,27.3342,0.9019824000000005
560,130,28.324,0.9019824000000005
560,140,29.6039,0.9019824000000005
560,150,30.3545,0.9019824000000005
580,10,15.8844,1.0538776000000007
580,20,16.7315,1.0538776000000007
580,30,17.7618,1.0538776000000007
580,40,18.837,1.0538776000000007
580,50,19.4431,1.0538776000000007
580,60,19.5882,1.0538776000000007
580,70,22.2627,1.0538776000000007
580,80,24.7856,1.0538776000000007
580,90,25.4809,1.0538776000000007
580,100,25.9659,1.0538776000000007
580,110,26.7079,1.0538776000000007
580,120,27.4665,1.0538776000000007
580,130,28.6587,1.0538776000000007
580,140,28.708,1.0538776000000007
580,150,31.2222,1.0538776000000007
600,10,16.0421,1.1970400000000003
600,20,17.9323,1.1970400000000003
600,30,18.2913,1.1970400000000003
600,40,19.7971,1.1970400000000003
600,50,20.0822,1.1970400000000003
600,60,21.4869,1.1970400000000003
600,70,23.2226,1.1970400000000003
600,80,24.5389,1.1970400000000003
600,90,26.0312,1.1970400000000003
600,100,26.70619,1.1970400000000003
600,110,27.079,1.1970400000000003
600,120,28.8698,1.1970400000000003
600,130,29.7824,1.1970400000000003
600,140,30.2536,1.1970400000000003
600,150,31.9041,1.1970400000000003
